source,lemma,etym_fam,score
S,humain,"['humainement', 'humaniser', 'humanisme', 'humanités', 'humanure', 'inhumain', 'interhumain', 'suprahumain', 'surhumain', 'transhumanisme', 'transhumaniste', 'anthropien', 'anti-humaniste', 'anti-humanisterie', 'antihumanisme', 'antihumaniste', 'démasculinisation', 'démasculiniser', 'déshumanisant', 'déshumanisation', 'déshumaniser', 'dévirilisation', 'déviriliser', 'hominien', 'hominisation', 'hominiser', 'hominisme', 'hoministe', 'hommasse', 'hommassité', 'homme', 'hommelet', 'hommelette', 'hommette', 'masculin', 'masculinisation', 'masculiniser', 'masculinisme', 'masculiniste', 'masculinité', 'masculisme', 'viril', 'virilerie', 'virilisation', 'viriliser', 'virilisme', 'virilité', 'Homme']",0
G,igné,"['ignescent', 'ignifugation', 'ignifuge', 'ignifuger', 'ignition']",1
NS,igné,"['ardent', 'incandescent', 'pyrique', 'ignescent', 'ignifugation', 'ignifuge', 'ignifuger', 'ignition', 'bifocal', 'défocalisation', 'défocaliser', 'feu', 'feutier', 'focal', 'focalisable', 'focalisation', 'focaliser', 'focaliseur', 'focalité', 'foyer']",0
S,igné,"['ardent', 'incandescent', 'pyrique', 'ignescent', 'ignifugation', 'ignifuge', 'ignifuger', 'ignition', 'bifocal', 'défocalisation', 'défocaliser', 'feu', 'feutier', 'focal', 'focalisable', 'focalisation', 'focaliser', 'focaliseur', 'focalité', 'foyer']",0
G,jour,[],1
NS,jour,"['ajour', 'ajourer', 'ajournement', 'ajourner', 'aujourd’hui', 'bonjour', 'contrejour', 'déjour', 'jourd’hui', 'jourd’huy', 'journal', 'journaleux', 'journalier', 'journaliser', 'journalisme', 'journaliste', 'journalistique', 'journau', 'journée', 'journel', 'journellement', 'journoyer', 'réajourner', 'séjour', 'séjournement', 'séjourner', 'toujours', 'diurne', 'quotidien', 'nuit', 'fond', 'mois', 'semaine', 'weekend', 'biquotidien', 'diaire', 'jour', 'quotidiennat', 'quotidiennerie', 'quotidienneté']",0
S,jour,"['ajour', 'ajourer', 'ajournement', 'ajourner', 'aujourd’hui', 'bonjour', 'contrejour', 'déjour', 'jourd’hui', 'jourd’huy', 'journal', 'journaleux', 'journalier', 'journaliser', 'journalisme', 'journaliste', 'journalistique', 'journau', 'journée', 'journel', 'journellement', 'journoyer', 'réajourner', 'séjour', 'séjournement', 'séjourner', 'toujours', 'diurne', 'quotidien', 'nuit', 'fond', 'mois', 'semaine', 'weekend', 'biquotidien', 'diaire', 'jour', 'quotidiennat', 'quotidiennerie', 'quotidienneté']",0
G,kérosène,['kérogène'],1
NS,kérosène,"['kérogène', 'naphte', 'pétrole', 'huile', 'essence', 'gazole', 'cirage', 'cire', 'cirer', 'cireur', 'cireuse', 'cireux', 'cirier', 'cirière', 'ciré', 'céréan']",0
S,kérosène,"['kérogène', 'naphte', 'pétrole', 'huile', 'essence', 'gazole', 'cirage', 'cire', 'cirer', 'cireur', 'cireuse', 'cireux', 'cirier', 'cirière', 'ciré', 'céréan']",0
G,lactique,"['alactique', 'lactiquement', 'paralactique', 'lacticémie']",1
NS,lactique,"['alactique', 'lactiquement', 'paralactique', 'lacticémie', 'nancéique', 'zymique', 'zumique']",0
S,lactique,"['alactique', 'lactiquement', 'paralactique', 'lacticémie', 'nancéique', 'zymique', 'zumique']",0
G,lait,[],1
NS,lait,"['allaiter', 'allaitement', 'lachère', 'laitage', 'laitance', 'laiterie', 'laiteux', 'laitier', 'laitière', 'albumen', 'latex', 'laitue', 'délaitage', 'délaitement', 'délaiter', 'délaiteuse', 'galactite', 'lactaire', 'lacté', 'lait']",0
S,lait,"['allaiter', 'allaitement', 'lachère', 'laitage', 'laitance', 'laiterie', 'laiteux', 'laitier', 'laitière', 'albumen', 'latex', 'laitue', 'délaitage', 'délaitement', 'délaiter', 'délaiteuse', 'galactite', 'lactaire', 'lacté', 'lait']",0
G,lectrice,"['audiolectrice', 'lectorat', 'lecteur', 'lecteurat', 'lectoral', 'lectorial', 'lectoriat', 'lectoriel', 'lectural', 'lecture', 'lecturette', 'lecturier', 'relecture', 'réélecter', 'réélection', 'électerat', 'électeur', 'électeurat', 'électif', 'élection', 'électivité', 'électoral', 'électoralisme', 'électoraliste', 'électoralitude', 'électorat', 'électrice']",1
NS,lectrice,"['AL', 'audiolectrice', 'BL', 'rectrice', 'tectrice', 'vectrice', 'anagnoste', 'bouquineuse', 'récitante', 'conteuse', 'déclamatrice', 'autrice', 'écrivaine', 'lectorat', 'illisibilité', 'illisible', 'inlisible', 'inéligibilité', 'inéligible', 'lecteur', 'lecteurat', 'lectoral', 'lectorial', 'lectoriat', 'lectoriel', 'lectrice', 'lectural', 'lecture', 'lecturette', 'lecturier', 'lion', 'lionnette', 'lire', 'lisage', 'lisant', 'lisette', 'liseur', 'liseuse', 'lisibilité', 'lisible', 'lu', 'relecture', 'relire', 'relu', 'réélecter', 'réélection', 'rééligibilité', 'rééligible', 'réélire', 'réélu', 'électerat', 'électeur', 'électeurat', 'électif', 'élection', 'électivité', 'électoral', 'électoralisme', 'électoraliste', 'électoralitude', 'électorat', 'électrice', 'élider', 'éligibilité', 'éligible', 'élire', 'élision', 'élitaire', 'élite', 'élitique', 'élitisme', 'élitiste', 'élu', 'Lion', 'Lionnette']",0
S,lectrice,"['AL', 'audiolectrice', 'BL', 'rectrice', 'tectrice', 'vectrice', 'anagnoste', 'bouquineuse', 'récitante', 'conteuse', 'déclamatrice', 'autrice', 'écrivaine', 'lectorat', 'illisibilité', 'illisible', 'inlisible', 'inéligibilité', 'inéligible', 'lecteur', 'lecteurat', 'lectoral', 'lectorial', 'lectoriat', 'lectoriel', 'lectrice', 'lectural', 'lecture', 'lecturette', 'lecturier', 'lion', 'lionnette', 'lire', 'lisage', 'lisant', 'lisette', 'liseur', 'liseuse', 'lisibilité', 'lisible', 'lu', 'relecture', 'relire', 'relu', 'réélecter', 'réélection', 'rééligibilité', 'rééligible', 'réélire', 'réélu', 'électerat', 'électeur', 'électeurat', 'électif', 'élection', 'électivité', 'électoral', 'électoralisme', 'électoraliste', 'électoralitude', 'électorat', 'électrice', 'élider', 'éligibilité', 'éligible', 'élire', 'élision', 'élitaire', 'élite', 'élitique', 'élitisme', 'élitiste', 'élu', 'Lion', 'Lionnette']",0
G,ligneux,"['pyroligneux', 'délignifier', 'lignicole', 'lignifère', 'lignifiant', 'lignification', 'lignifié', 'lignine', 'lignite', 'lignocellulose', 'lignone', 'lignose', 'lignosité', 'lignosulfonate', 'délignification', 'ligniteux']",1
NS,ligneux,,0
S,ligneux,"['pyroligneux', 'noueux', 'délignifier', 'lignicole', 'lignifère', 'lignifiant', 'lignification', 'lignifié', 'lignine', 'lignite', 'lignocellulose', 'lignone', 'lignose', 'lignosité', 'lignosulfonate', 'bois', 'boisage', 'boise', 'boisement', 'boiser', 'boisette', 'boiseur', 'boisilier', 'boisé', 'boitte', 'bosquet', 'bouc', 'bouchable', 'bouchage', 'bouche', 'bouchelette', 'bouchement', 'boucher', 'bouchette', 'boucheur', 'boucheuse', 'bouchère', 'bouché', 'boue', 'bouette', 'boueur', 'boueux', 'bouquet', 'bouqueter', 'bouquetier', 'bouqueté', 'bouvet', 'bouvetage', 'bouveter', 'bouveteur', 'bouveteuse', 'bouvier', 'bouvière', 'bovin', 'bovinité', 'boyer', 'boëtte', 'bœuf', 'déboisage', 'déboisement', 'déboiser', 'déboiseur', 'déboiseuse', 'débouchage', 'débouchement', 'déboucher', 'déboucheur', 'débouchonner', 'débouché', 'délignification', 'embouage', 'embouchage', 'embouche', 'emboucher', 'emboucheur', 'embouché', 'embouement', 'embouer', 'imbouchable', 'ligneux', 'ligniteux', 'monoxyle', 'reboisage', 'reboisement', 'reboiser', 'reboiseur', 'rebouchage', 'rebouchement', 'reboucher', 'stomatite', 'xylite', 'xylène']",0
G,lire,[],1
NS,lire,"['délire', 'entrelire', 'lisage', 'liseur', 'liseuse', 'relire', 'illisibilité', 'illisible', 'inlisible', 'inéligibilité', 'inéligible', 'lecteur', 'lecteurat', 'lectoral', 'lectorat', 'lectorial', 'lectoriat', 'lectoriel', 'lectrice', 'lectural', 'lecture', 'lecturette', 'lecturier', 'lion', 'lionnette']",0
S,lire,"['délire', 'entrelire', 'lisage', 'liseur', 'liseuse', 'relire', 'illisibilité', 'illisible', 'inlisible', 'inéligibilité', 'inéligible', 'lecteur', 'lecteurat', 'lectoral', 'lectorat', 'lectorial', 'lectoriat', 'lectoriel', 'lectrice', 'lectural', 'lecture', 'lecturette', 'lecturier', 'lion', 'lionnette']",0
G,locataire,"['colocataire', 'multilocataire', 'locateur', 'locatier', 'locatif', 'location', 'relocation']",1
NS,locataire,"['colocataire', 'multilocataire', 'location', 'loquer', 'louable', 'louage', 'louageur', 'louange', 'louanger', 'louangette', 'louangeur', 'louangeuse', 'louer', 'loueur', 'loueuse', 'loué', 'loyer', 'relocation', 'reloquer', 'relouage', 'relouer']",0
S,locataire,"['colocataire', 'multilocataire', 'location', 'loquer', 'louable', 'louage', 'louageur', 'louange', 'louanger', 'louangette', 'louangeur', 'louangeuse', 'louer', 'loueur', 'loueuse', 'loué', 'loyer', 'relocation', 'reloquer', 'relouage', 'relouer']",0
G,main,[],1
NS,main,"['baisemain', 'mainlevée', 'mainmettre', 'mainmise', 'mainmortable', 'mainmorte', 'mainmuable', 'maintenage', 'maintenance', 'mainteneur', 'maintenir', 'maintien', 'maniforme', 'manuel', 'tournemain', 'louche', 'manette', 'menotte', 'mimine', 'paluche', 'patoche', 'pince', 'pogne', 'torcheculs', 'centimane', 'maniabilité', 'maniable', 'maniage', 'manicle', 'maniement', 'manier', 'manière', 'maniérer', 'maniérisme', 'maniériste', 'maniette', 'manieur', 'manifestant', 'manifestatif', 'manifestation', 'manifestement', 'manifester', 'manille', 'maniller', 'manilleur', 'manillon', 'maniotte', 'manipulaire', 'manipulateur', 'manipulation', 'manipuler', 'manipuleur', 'manique', 'manivelle', 'manœuvrable', 'manœuvrant', 'manœuvre', 'manœuvrée', 'manœuvrer', 'manœuvrerie', 'manœuvrier', 'manoque', 'manoquer', 'manubaliste', 'manucaude', 'manucure', 'manucurer', 'manuducteur', 'manuduction', 'manuellement', 'manufacturable', 'manufacturer', 'manufacturier', 'manuluve', 'manumis', 'manumission', 'manuscription', 'manuscrit', 'manustupration', 'manutention', 'manutentionnaire', 'manutentionnel', 'manutentionner', 'manuterge', 'quadrumane']",0
S,main,"['baisemain', 'mainlevée', 'mainmettre', 'mainmise', 'mainmortable', 'mainmorte', 'mainmuable', 'maintenage', 'maintenance', 'mainteneur', 'maintenir', 'maintien', 'maniforme', 'manuel', 'tournemain', 'louche', 'manette', 'menotte', 'mimine', 'paluche', 'patoche', 'pince', 'pogne', 'torcheculs', 'centimane', 'maniabilité', 'maniable', 'maniage', 'manicle', 'maniement', 'manier', 'manière', 'maniérer', 'maniérisme', 'maniériste', 'maniette', 'manieur', 'manifestant', 'manifestatif', 'manifestation', 'manifestement', 'manifester', 'manille', 'maniller', 'manilleur', 'manillon', 'maniotte', 'manipulaire', 'manipulateur', 'manipulation', 'manipuler', 'manipuleur', 'manique', 'manivelle', 'manœuvrable', 'manœuvrant', 'manœuvre', 'manœuvrée', 'manœuvrer', 'manœuvrerie', 'manœuvrier', 'manoque', 'manoquer', 'manubaliste', 'manucaude', 'manucure', 'manucurer', 'manuducteur', 'manuduction', 'manuellement', 'manufacturable', 'manufacturer', 'manufacturier', 'manuluve', 'manumis', 'manumission', 'manuscription', 'manuscrit', 'manustupration', 'manutention', 'manutentionnaire', 'manutentionnel', 'manutentionner', 'manuterge', 'quadrumane']",0
G,malachite,[],1
NS,malachite,"['malachite', 'mauve', 'mauvette']",0
S,malachite,"['malachite', 'mauve', 'mauvette']",0
G,manger,[],1
NS,manger,"['entremanger', 'entremangerie', 'mangeable', 'mangeaille', 'mangeailler', 'mangeoire', 'mangeotter', 'mangerie', 'mangeur', 'mangeure', 'mangeüre', 'mangeuse', 'mangeux', 'remanger', 'bouffer', 'becqueter', 'daba', 'grailler', 'miamer', 'damer', 's’alimenter', 'tchoper', 'bâfrer', 'ingurgiter', 's’empiffrer', 'manducateur', 'manducation', 'manducatoire', 'jeûner', 'comestibilité', 'comestible', 'géophagisme', 'immangeable', 'incomestible', 'mangeage', 'mangement', 'manger']",0
S,manger,"['entremanger', 'entremangerie', 'mangeable', 'mangeaille', 'mangeailler', 'mangeoire', 'mangeotter', 'mangerie', 'mangeur', 'mangeure', 'mangeüre', 'mangeuse', 'mangeux', 'remanger', 'bouffer', 'becqueter', 'daba', 'grailler', 'miamer', 'damer', 's’alimenter', 'tchoper', 'bâfrer', 'ingurgiter', 's’empiffrer', 'manducateur', 'manducation', 'manducatoire', 'jeûner', 'comestibilité', 'comestible', 'géophagisme', 'immangeable', 'incomestible', 'mangeage', 'mangement', 'manger']",0
G,marmoréen,"['marmorisation', 'marmoriser']",1
NS,marmoréen,"['marbrage', 'marbre', 'marbrer', 'marbreur', 'marbreuse', 'marbrier', 'marbrière', 'marbré', 'marmorisation', 'marmoriser']",0
S,marmoréen,"['marbrage', 'marbre', 'marbrer', 'marbreur', 'marbreuse', 'marbrier', 'marbrière', 'marbré', 'marmorisation', 'marmoriser']",0
G,mer,[],1
NS,mer,"['amerrir', 'amerrissage', 'ADM', 'MT', 'amarinage', 'amariner', 'amarinite', 'aurantiamarine', 'convallamarine', 'emmariner', 'héliomarin', 'marée', 'marin', 'marinade', 'marinage', 'marine', 'marinesque', 'marinette', 'marinier', 'marinisme', 'mariniste', 'maritime', 'transmarin', 'thalassophobie', 'terre', 'marinité', 'sous-marin', 'sous-marinité', 'thalassien']",0
S,mer,"['amerrir', 'amerrissage', 'ADM', 'MT', 'amarinage', 'amariner', 'amarinite', 'aurantiamarine', 'convallamarine', 'emmariner', 'héliomarin', 'marée', 'marin', 'marinade', 'marinage', 'marine', 'marinesque', 'marinette', 'marinier', 'marinisme', 'mariniste', 'maritime', 'transmarin', 'thalassophobie', 'terre', 'marinité', 'sous-marin', 'sous-marinité', 'thalassien']",0
G,mois,[],1
NS,mois,"['bimensuel', 'mensualiser', 'mensualité', 'mensuel', 'mensuellement', 'semestre', 'semestriel', 'trimestre', 'trimestriel', 'année', 'bimensualité', 'mensualisation', 'mensuelat', 'mois', 'quadrimestre', 'quadrimestriel', 'semi-mensuel', 'trimestrat']",0
S,mois,"['bimensuel', 'mensualiser', 'mensualité', 'mensuel', 'mensuellement', 'semestre', 'semestriel', 'trimestre', 'trimestriel', 'année', 'bimensualité', 'mensualisation', 'mensuelat', 'mois', 'quadrimestre', 'quadrimestriel', 'semi-mensuel', 'trimestrat']",0
G,mont,[],1
NS,mont,"['amont', 'cismontain', 'montain', 'monter', 'monteux', 'montille', 'outremonts', 'piémont', 'transmontain', 'ultramontain', 'Montfaucon', 'Montmartre', 'Montréal', 'Montrouge', 'Outremont', 'Rosemont', 'Rougemont', 'monceau', 'monticole', 'monticule', 'mont', 'montueux', 'montuosité']",0
S,mont,"['amont', 'cismontain', 'montain', 'monter', 'monteux', 'montille', 'outremonts', 'piémont', 'transmontain', 'ultramontain', 'Montfaucon', 'Montmartre', 'Montréal', 'Montrouge', 'Outremont', 'Rosemont', 'Rougemont', 'monceau', 'monticole', 'monticule', 'mont', 'montueux', 'montuosité']",0
G,mot,[],1
NS,mot,"['motet', 'motus', 'écrit', 'parole', 'borborygme', 'texte', 'phrase', 'proposition', 'syntagme', 'complément', 'noyau', 'sujet', 'glossaire', 'MOT']",0
S,mot,"['motet', 'motus', 'écrit', 'parole', 'borborygme', 'texte', 'phrase', 'proposition', 'syntagme', 'complément', 'noyau', 'sujet', 'glossaire', 'MOT']",0
G,myrmicéen,[],1
NS,myrmicéen,"['formique', 'biforme', 'fourmi', 'fourmiette', 'fourmilier', 'fourmilière', 'fourmillant', 'fourmillement', 'fourmiller']",0
S,myrmicéen,"['formique', 'biforme', 'fourmi', 'fourmiette', 'fourmilier', 'fourmilière', 'fourmillant', 'fourmillement', 'fourmiller']",0
G,nez,[],1
NS,nez,"['blair', 'blaire', 'blase', 'blaze', 'nase', 'naze', 'naseette', 'nasière', 'nazinette', 'nez', 'rhinite', 'semi-nasal', 'Nazinette']",0
S,nez,"['blair', 'blaire', 'blase', 'blaze', 'nase', 'naze', 'naseette', 'nasière', 'nazinette', 'nez', 'rhinite', 'semi-nasal', 'Nazinette']",0
G,nom,[],1
NS,nom,"['nominal', 'nominalement', 'nominalisation', 'nominaliser', 'nominalisme', 'nominaliste', 'nominatif', 'nomination', 'nominer', 'nommage', 'nommé', 'nommément', 'nommer', 'postnom', 'SNC', 'surnom', 'substantif', 'anonyme', 'dénommer', 'dénomination', 'innommable', 'innommé', 'nomenclature', 'nomenklatura', 'prénom', 'pronom', 'renommée', 'renommer', 'surnommer', 'dénominateur', 'dénominatif', 'dénominationnel', 'dénominer', 'dénommé', 'innomé', 'nom', 'nominalisateur', 'nominalité', 'nominateur', 'nominativité', 'nommable', 'nommeur', 'uninominal', 'Nominette']",0
S,nom,"['nominal', 'nominalement', 'nominalisation', 'nominaliser', 'nominalisme', 'nominaliste', 'nominatif', 'nomination', 'nominer', 'nommage', 'nommé', 'nommément', 'nommer', 'postnom', 'SNC', 'surnom', 'substantif', 'anonyme', 'dénommer', 'dénomination', 'innommable', 'innommé', 'nomenclature', 'nomenklatura', 'prénom', 'pronom', 'renommée', 'renommer', 'surnommer', 'dénominateur', 'dénominatif', 'dénominationnel', 'dénominer', 'dénommé', 'innomé', 'nom', 'nominalisateur', 'nominalité', 'nominateur', 'nominativité', 'nommable', 'nommeur', 'uninominal', 'Nominette']",0
G,nord,[],1
NS,nord,"['Noratlas', 'nordique', 'nordir', 'nordiste', 'septentrion', 'sud', 'nord', 'nordet', 'nordette', 'nordicisme', 'nordiciste', 'nordicité', 'nordien', 'nordisme', 'norditude', 'nordé', 'norrois', 'Nord', 'Nordien', 'Nordiste', 'Notre-Dame-du-Lac-Saint-Jean-Partie-Nord']",0
S,nord,"['Noratlas', 'nordique', 'nordir', 'nordiste', 'septentrion', 'sud', 'nord', 'nordet', 'nordette', 'nordicisme', 'nordiciste', 'nordicité', 'nordien', 'nordisme', 'norditude', 'nordé', 'norrois', 'Nord', 'Nordien', 'Nordiste', 'Notre-Dame-du-Lac-Saint-Jean-Partie-Nord']",0
G,nucléé,"['anti-nucléaire', 'anti-nucléarisme', 'antinucléaire', 'binucléé', 'dénucléarisation', 'dénucléariser', 'extranucléaire', 'internucléaire', 'mononucléaire', 'nucléaire', 'nucléarisation', 'nucléariser', 'nucléarisme', 'nucléariste', 'nucléarité', 'plurinucléé', 'polynucléaire', 'polynucléarité', 'polynucléé', 'post-nucléaire', 'postnucléaire', 'énergie nucléaire']",1
NS,nucléé,"['nucléaire', 'nucléarisation', 'nucléariser', 'nucléarisme', 'nucléariste', 'nucléarité', 'dénoyautage', 'dénoyauter', 'dénoyauteur', 'dénoyauteuse', 'dénucléarisation', 'dénucléariser', 'extranucléaire', 'internucléaire', 'mononucléaire', 'noyau', 'noyautage', 'noyauter', 'noyauteur', 'noyauteuse', 'plurinucléé', 'polynucléaire', 'polynucléarité', 'polynucléé', 'post-nucléaire', 'postnucléaire', 'énergie nucléaire']",0
S,nucléé,"['nucléaire', 'nucléarisation', 'nucléariser', 'nucléarisme', 'nucléariste', 'nucléarité', 'dénoyautage', 'dénoyauter', 'dénoyauteur', 'dénoyauteuse', 'dénucléarisation', 'dénucléariser', 'extranucléaire', 'internucléaire', 'mononucléaire', 'noyau', 'noyautage', 'noyauter', 'noyauteur', 'noyauteuse', 'plurinucléé', 'polynucléaire', 'polynucléarité', 'polynucléé', 'post-nucléaire', 'postnucléaire', 'énergie nucléaire']",0
G,nutrition,"['malnutrition', 'micronutrition', 'nutritionnel', 'nutritionniste', 'nutritif', 'nutriciat', 'nutricier', 'nutritif', 'nutrition', 'nutritionnel', 'nutritionniste', 'nutritivité']",1
NS,nutrition,"['malnutrition', 'micronutrition', 'nutritionnel', 'nutritionniste', 'diététique', 'nutriment', 'nutritif', 'nourrain', 'nourrette', 'nourri', 'nourrice', 'nourriciat', 'nourricier', 'nutricaat', 'nutricier', 'nutrition', 'nutritivité']",0
S,nutrition,"['malnutrition', 'micronutrition', 'nutritionnel', 'nutritionniste', 'diététique', 'nutriment', 'nutritif', 'nourrain', 'nourrette', 'nourri', 'nourrice', 'nourriciat', 'nourricier', 'nutricaat', 'nutricier', 'nutrition', 'nutritivité']",0
G,oblation,"['oblationnaire', 'oblat', 'oblatif', 'oblativité', 'oblature', 'oblateur']",1
NS,oblation,"['oblationnaire', 'oblat', 'oblatif', 'oblativité', 'oblature', 'oblateur']",1
S,oblation,"['oblationnaire', 'oblat', 'oblatif', 'oblativité', 'oblature', 'oblateur']",1
G,oiseau,[],1
NS,oiseau,"['oiselet', 'oiselier', 'oiselle', 'oisellerie', 'oisillon', 'zoiseau', 'moquoiseau', 'Loiseau', 'volatile', 'zèbre', 'zigoto', 'zoziau', 'zozio', 'zozyau', 'roitelet', 'papegai', 'auge', 'piaf', 'aviaire', 'couvée', 'nichée', 'aviarité', 'avien']",0
S,oiseau,"['oiselet', 'oiselier', 'oiselle', 'oisellerie', 'oisillon', 'zoiseau', 'moquoiseau', 'Loiseau', 'volatile', 'zèbre', 'zigoto', 'zoziau', 'zozio', 'zozyau', 'roitelet', 'papegai', 'auge', 'piaf', 'aviaire', 'couvée', 'nichée', 'aviarité', 'avien']",0
G,ordre,[],1
NS,ordre,"['ordonnancement', 'ordonnance', 'ordonner', 'ordonné', 'ordonnateur', 'ordonnatrice', 'ordonnement', 'réordination', 'réordiner', 'réordonnement', 'réordonner', 'subordination', 'subordonner', 'subordonné']",0
S,ordre,"['ordonnancement', 'ordonnance', 'ordonner', 'ordonné', 'ordonnateur', 'ordonnatrice', 'ordonnement', 'réordination', 'réordiner', 'réordonnement', 'réordonner', 'subordination', 'subordonner', 'subordonné']",0
G,ovoïde,[],1
NS,ovoïde,['ovo'],0
S,ovoïde,['ovo'],0
G,pain,[],1
NS,pain,"['carnipain', 'copain', 'croustipain', 'saucipain', 'brignolet', 'companage', 'panaire', 'panasserie', 'pané', 'paner', 'panetière', 'panière', 'paneton', 'panivore', 'panure', 'grigne', 'baguette', 'bannette', 'déjeunette', 'ficelle', 'flute', 'flûte', 'dépannage', 'dépanner', 'dépannette', 'dépanneur', 'dépanneuse', 'empannage', 'empanner', 'khobisme', 'panage', 'panetier', 'panette', 'panier', 'paniette', 'panifiable', 'panificateur', 'panification', 'panifier', 'panne', 'pannelette', 'pannette', 'panné']",0
S,pain,"['carnipain', 'copain', 'croustipain', 'saucipain', 'brignolet', 'companage', 'panaire', 'panasserie', 'pané', 'paner', 'panetière', 'panière', 'paneton', 'panivore', 'panure', 'grigne', 'baguette', 'bannette', 'déjeunette', 'ficelle', 'flute', 'flûte', 'dépannage', 'dépanner', 'dépannette', 'dépanneur', 'dépanneuse', 'empannage', 'empanner', 'khobisme', 'panage', 'panetier', 'panette', 'panier', 'paniette', 'panifiable', 'panificateur', 'panification', 'panifier', 'panne', 'pannelette', 'pannette', 'panné']",0
G,pancalisme,['pancaliste'],1
NS,pancalisme,"['aphrodisme', 'beau']",0
S,pancalisme,"['aphrodisme', 'beau']",0
G,patibulaire,[],1
NS,patibulaire,"['inquiétant', 'sinistre', 'gibet']",0
S,patibulaire,"['inquiétant', 'sinistre', 'gibet']",0
G,phrase,[],1
NS,phrase,"['antiphrase', 'paraphrase', 'paraphraser', 'phrasé', 'phraséologie', 'phraser', 'phraserie', 'phraseur', 'rephraser', 'charabia', 'antiphrastique', 'phrasaire', 'phrase', 'phrasette', 'phraseuse', 'phrasier', 'phrasounette', 'phrastique']",0
S,phrase,"['antiphrase', 'paraphrase', 'paraphraser', 'phrasé', 'phraséologie', 'phraser', 'phraserie', 'phraseur', 'rephraser', 'charabia', 'antiphrastique', 'phrasaire', 'phrase', 'phrasette', 'phraseuse', 'phrasier', 'phrasounette', 'phrastique']",0
G,pied,[],1
NS,pied,"['antipied', 'bipied', 'entrepied', 'hochepied', 'marchepied', 'piètement', 'trépied', 'arpion', 'nougat', 'panard', 'paturon', 'peton', 'ripaton', 'pinceau', 'bonheur', 'cep', 'plant', 'inclinaison', 'écartement', 'fruit', 'pente', 'apode', 'apodidé', 'apodie', 'bipède', 'dépiéter', 'empiéger', 'empêchement', 'empêcher', 'empiétement', 'empiéter', 'gastéropode', 'péage', 'pédale', 'pédalo', 'pédauque', 'Pédauque', 'pédestre', 'piédestal', 'pédicure', 'piedmont', 'piédouche', 'piedroit', 'piège', 'piégeage', 'piéger', 'piégeur', 'Piémont', 'Piémontais', 'piémontais', 'piémontite', 'piétage', 'piétaille', 'piéter', 'piéteur', 'piétin', 'piétinement', 'piétiner', 'piéton', 'piétonne', 'piétonner', 'piétonnier', 'piétonnière', 'piètre', 'piètrement', 'piètrerie', 'podagre', 'podaire', 'podalique', 'podalirius', 'podalyre', 'podarge', 'podétion', 'podien', 'podium', 'podocarpe', 'podocère', 'pododysodie', 'podolépis', 'podolite', 'podologie', 'podologue', 'podomètre', 'podométrique', 'podophobie', 'podophobe', 'podophthalme', 'podophylle', 'podophylleux', 'podophyllin', 'podoscaphe', 'podostémon', 'podure', 'rempiétement', 'rempiéter', 'tripode', '👣', '🦶', 'dipode', 'décapode', 'endopodite', 'exopodite', 'hexapode', 'monopode', 'octopode', 'pedestrian', 'pedestrianisme', 'pédane', 'pédestrien', 'pédestrité', 'pédieux', 'tétrapode']",0
S,pied,"['antipied', 'bipied', 'entrepied', 'hochepied', 'marchepied', 'piètement', 'trépied', 'arpion', 'nougat', 'panard', 'paturon', 'peton', 'ripaton', 'pinceau', 'bonheur', 'cep', 'plant', 'inclinaison', 'écartement', 'fruit', 'pente', 'apode', 'apodidé', 'apodie', 'bipède', 'dépiéter', 'empiéger', 'empêchement', 'empêcher', 'empiétement', 'empiéter', 'gastéropode', 'péage', 'pédale', 'pédalo', 'pédauque', 'Pédauque', 'pédestre', 'piédestal', 'pédicure', 'piedmont', 'piédouche', 'piedroit', 'piège', 'piégeage', 'piéger', 'piégeur', 'Piémont', 'Piémontais', 'piémontais', 'piémontite', 'piétage', 'piétaille', 'piéter', 'piéteur', 'piétin', 'piétinement', 'piétiner', 'piéton', 'piétonne', 'piétonner', 'piétonnier', 'piétonnière', 'piètre', 'piètrement', 'piètrerie', 'podagre', 'podaire', 'podalique', 'podalirius', 'podalyre', 'podarge', 'podétion', 'podien', 'podium', 'podocarpe', 'podocère', 'pododysodie', 'podolépis', 'podolite', 'podologie', 'podologue', 'podomètre', 'podométrique', 'podophobie', 'podophobe', 'podophthalme', 'podophylle', 'podophylleux', 'podophyllin', 'podoscaphe', 'podostémon', 'podure', 'rempiétement', 'rempiéter', 'tripode', '👣', '🦶', 'dipode', 'décapode', 'endopodite', 'exopodite', 'hexapode', 'monopode', 'octopode', 'pedestrian', 'pedestrianisme', 'pédane', 'pédestrien', 'pédestrité', 'pédieux', 'tétrapode']",0
G,pierre,[],1
NS,pierre,"['dépierrer', 'désempierrer', 'empierré', 'empierrer', 'épierrer', 'perron', 'pierrade', 'pierraille', 'Pierre', 'pierrer', 'pierreries', 'pierrette', 'pierreuse', 'pierreux', 'pierrier', 'perrière', 'pierriste', 'pierrot', 'pierrure', 'réempierrer', 'aimant', 'coquillier', 'épaufrer', 'épaufrure', 'gélif', 'glyptothèque', 'jade', 'dépierrage', 'empierrage', 'empierrement', 'lapidaire', 'lapidarité', 'lapidateur', 'lapidation', 'lapider', 'monolithe', 'monolithique', 'monolithisme', 'perrier', 'pierre', 'pierrière', 'pétré']",0
